source,target,weight
363960421304215792,359883270501047316,35
363960421304215792,2025330389306121838,205
363960421304215792,1623409946591431890,33
363960421304215792,91424709824305617,26
363960421304215792,1662471174741809263,171
363960421304215792,316771577956202344,281
363960421304215792,1599700408485420555,11
363960421304215792,810782882274740112,289
363960421304215792,1857070143549008407,216
363960421304215792,118059322010068999,250
363960421304215792,1642127203011334852,15
363960421304215792,631493999898370680,18
363960421304215792,2223451190587557724,264
363960421304215792,1052174691298804505,244
363960421304215792,722044306321041344,17
363960421304215792,1746762266900287860,41
363960421304215792,1051733801439829212,217
363960421304215792,1122900383991494744,250
363960421304215792,1151461786375664392,252
363960421304215792,1830377597513777402,28
363960421304215792,1106643850393847621,270
363960421304215792,1623243541670603775,285
363960421304215792,1540617285749514505,267
363960421304215792,1713174724911424274,226
363960421304215792,363912282794604829,143
363960421304215792,1509533947454045700,11
363960421304215792,1005993300752447161,15
363960421304215792,194915656929967512,19
363960421304215792,2198631505174154501,12
363960421304215792,871619367972164990,15
363960421304215792,110977487541339661,13
363960421304215792,802152850789398999,188
363960421304215792,71785404859868915,229
363960421304215792,2160655687944436892,259
363960421304215792,14769149224596723,198
363960421304215792,919251026346145133,184
363960421304215792,1649893549795678798,11
363960421304215792,886370322213929275,267
363960421304215792,840141454820610885,245
363960421304215792,1943471419241080394,28
363960421304215792,24894925396926059,11
363960421304215792,869329780532155310,152
363960421304215792,10179254705840623,12
363960421304215792,1703878472666301994,230
363960421304215792,310179165518682101,228
363960421304215792,1006676931962694664,11
363960421304215792,362824035502925032,11
363960421304215792,1175476752161937793,231
363960421304215792,1957843026780587684,70
363960421304215792,1220889917899110969,18
363960421304215792,1281468425788150877,18
363960421304215792,2263495696788662228,231
363960421304215792,2024236463702922529,13
363960421304215792,705614206183151440,26
363960421304215792,2012020766054653076,149
363960421304215792,1392943080629999573,261
363960421304215792,250673100587934053,190
363960421304215792,816890998821641276,12
363960421304215792,682783475864571131,12
363960421304215792,88088468507022681,221
363960421304215792,1299770619699701004,11
363960421304215792,718068659061428762,12
363960421304215792,1711765563581178882,189
363960421304215792,1708188249688138263,15
363960421304215792,763692427412018267,182
363960421304215792,1041063321428079452,26
363960421304215792,1328332246170720835,13
363960421304215792,1905034945445883575,186
363960421304215792,2199319868809978203,14
363960421304215792,1753198479057069455,16
363960421304215792,245253102399253474,126
363960421304215792,1786202934903987749,11
363960421304215792,1083421853253582284,13
363960421304215792,2175122505819504450,20
363960421304215792,25336891050635982,26
363960421304215792,1294509107619848111,202
363960421304215792,2178496747806765481,24
363960421304215792,1424325789922919677,35
363960421304215792,620251244812357248,36
363960421304215792,836738783766544839,76
363960421304215792,1445027886172812650,18
363960421304215792,1409421244831430312,12
363960421304215792,2236080245326458699,20
363960421304215792,1483589301250647041,168
363960421304215792,236976165125854727,23
363960421304215792,1846376104018788148,14
363960421304215792,2123149118932846310,23
363960421304215792,1255278396620218767,178
363960421304215792,1033329303902013885,221
363960421304215792,1409125225950553691,67
363960421304215792,956209991856793768,76
363960421304215792,1994602789462654011,12
363960421304215792,757125630093174894,20
363960421304215792,1546232721193243054,92
363960421304215792,1467752745805612061,12
363960421304215792,741439597128857122,14
363960421304215792,1505662532983448206,157
363960421304215792,1390132697108868195,190
363960421304215792,479033536350071524,35
363960421304215792,1080371199977850191,165
363960421304215792,381814051598346253,25
363960421304215792,338600549334071840,13
363960421304215792,1418060294313676265,13
363960421304215792,906427366158127973,152
363960421304215792,2221828568032630574,96
363960421304215792,1309130221048065418,159
363960421304215792,154665113611445033,145
363960421304215792,489833407449267137,23
363960421304215792,480610095645262348,136
363960421304215792,1813662529429580784,12
363960421304215792,1815687714477729729,26
363960421304215792,1281044549680879633,13
363960421304215792,969301191041383564,15
363960421304215792,2214131750495883695,13
363960421304215792,995557960607502506,41
363960421304215792,1332063120138743063,121
363960421304215792,2224210947375189736,20
363960421304215792,143188377126489644,85
363960421304215792,772504040647773919,97
363960421304215792,764993748459196022,76
363960421304215792,1154428504703051511,76
363960421304215792,576822774200611005,61
420125125993818156,1623409946591431890,64
420125125993818156,1845926904822596383,74
420125125993818156,1662471174741809263,16
420125125993818156,52672148187027527,25
420125125993818156,1454702693372912360,26
420125125993818156,466646399326605941,11
420125125993818156,1167856890375370641,46
420125125993818156,520763783972413056,72
420125125993818156,1642127203011334852,64
420125125993818156,2292572125166429110,48
420125125993818156,1150252970272693452,23
420125125993818156,1420088501122066770,72
420125125993818156,722044306321041344,11
420125125993818156,1830377597513777402,50
420125125993818156,1509533947454045700,33
420125125993818156,633245959632307519,13
420125125993818156,651751867249958011,16
420125125993818156,871619367972164990,71
420125125993818156,257309384198240878,17
420125125993818156,1646662546127500562,17
420125125993818156,1428402752545722526,94
420125125993818156,622556641049484562,11
420125125993818156,80148313293583914,12
420125125993818156,1823267085695842572,69
420125125993818156,10179254705840623,54
420125125993818156,2205337159609560798,11
420125125993818156,1902542031612569087,12
420125125993818156,1006676931962694664,26
420125125993818156,362824035502925032,50
420125125993818156,1220889917899110969,11
420125125993818156,1095804840414097823,21
420125125993818156,1904299297268888157,19
420125125993818156,1281468425788150877,13
420125125993818156,1903476605956491578,12
420125125993818156,2024236463702922529,55
420125125993818156,957873760065044832,70
420125125993818156,2012020766054653076,45
420125125993818156,250673100587934053,13
420125125993818156,1829254404525890249,16
420125125993818156,1166579288249660405,31
420125125993818156,2060417014013704514,54
420125125993818156,635723186149454302,11
420125125993818156,2204000122362856952,24
420125125993818156,591238314389136356,27
420125125993818156,219773463295933810,24
420125125993818156,1299770619699701004,32
420125125993818156,1635728642238138278,24
420125125993818156,503832795883366297,14
420125125993818156,204522459484083988,25
420125125993818156,55461716700057918,13
420125125993818156,1778014428073123600,15
420125125993818156,2083361713818842262,50
420125125993818156,39959591953486815,94
420125125993818156,607770694666703102,21
420125125993818156,695241705916434669,73
420125125993818156,1328332246170720835,15
420125125993818156,118277665259665744,11
420125125993818156,18386967915627282,32
420125125993818156,2175122505819504450,20
420125125993818156,523003162700339712,63
420125125993818156,1729065412417003609,49
420125125993818156,836738783766544839,25
420125125993818156,1121967287848906101,44
420125125993818156,1660324551516775750,55
420125125993818156,1635681068151623069,66
420125125993818156,1445027886172812650,40
420125125993818156,809694757605445292,93
